tweet_id,conversation_id,customer_message,spotify_reply
2855,,"@SpotifyCares I've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" I do not want this to boot up at startup. What gives? https://t.co/vX8vY4l0st",@116379 Hey Dylan! Can you let us know which versions of Spotify and Windows you're running? We'll see what we can suggest /RA
2857,,"@116381 Hey hey! Thanks for reaching out! @SpotifyCares, could you help out with Pascal's payment update?",@116380 @116381 Hey Pazcal! Could you send us a DM with your account's email address? We'll take a look backstage /MJ https://t.co/ldFdZRiNAt
2858,,"@116380 Hey guys, I tried to update my payment method and add my Aussie visa credit card but it tell me that the card is for a ""non-spotify country""? I'm trying to migrate my account from France to Australia since I live here now and I can't do that unless I use an Aussie card",@116381 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA https://t.co/ldFdZRiNAt
2861,,"@116382 Booooourns. @SpotifyCares, could you please help out with this one?",@116380 @116382 Hey there! We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /MJ
2864,,@115888 only credit card??,@116383 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt
2868,,@SpotifyCares I doubt it :/ but thank you for replying!,"@116384 You're welcome. Not to worry, we'll pass on your feedback to the right team. If you ever need us again, just say the word. We're always here for you /MT"
2869,,"@SpotifyCares why is this album on Spotify if it's not playable? It would be super if was available, THIS IS #2NE1 playlist would be complete if it had all the songs from their first mini album https://t.co/NdN2Hbtdfl",@116384 Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MT
2873,,"@SpotifyCares every single time someone sends a Spotify link, it never works the first time. I have to 
A L W A Y S press the link twice for it to work 🤦🏻‍♂️🤦🏻‍♂️ https://t.co/MZ9Ai1cFaT","@116385 Hey there! Don't worry, help's here. Can you let us know the iPhone model you're using along with its iOS and Spotify versions? We'll see what we can suggest /MT"
2875,,@SpotifyCares I'm using my facebook account as a method to log in.,@116386 We see. Could you DM us your Facebook profile's email address? We'll help out there /CG https://t.co/ldFdZRiNAt
2877,,@115888 Why?? https://t.co/YCUDOLf2za,@116386 Hey! Could you DM us your account’s email address? We’ll check this out backstage /CG https://t.co/ldFdZRiNAt
2933,,"@SpotifyCares Over all connection, I get this notification from the phone as for loving in and out I did a fresh install, no luck!",@116387 Can you DM us your account's email address? We'll check things out /KC https://t.co/ldFdZRiNAt
2934,,@SpotifyCares Spotify 8.4.24.871 Android version 7.0 device: a brand new Huawei mate 9 . I will look like an ass if it's a matter of just updates😊,"@116387 Thanks. Is it happening over 3G/4G, WiFi, or both? Does logging out, fully closing the app, and restarting your device help? /KC"
2937,,@115888 the app is killing #phone #battery  fixing this problem? How is this okay. I guess you are getting the money without any complaints,"@116387 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB"
2939,,"@115888 this layout looks nice, but really isn’t friendly to left handed users.. my thumb isn’t long enough to hit play! https://t.co/f0mPzFgVcV","@116388 Hey! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /RH"
2944,,"Dear @115888 how do i get my discovery playlist to stop suggesting Dutch music to me, it's been a year",@116391 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt
2946,,@SpotifyCares is there anyway to move songs around so they're in my order and not the order of when I added them...if that makes sense?,@116392 Hi Thomas. It makes total sense! This link should help you sort your awesome tracks: https://t.co/5hjtm5AdqM /LS
2948,,@SpotifyCares Thanks. Here's the link: https://t.co/Luc4FiDrIm,@116393 1: Thanks! Ideas usually get closed because they're unable to garner enough votes. We suggest...
2952,,"@SpotifyCares What keywords besides ""playlist"", ""playlists"", + ""song"" would I use?","@116393 We suggest using keywords similar to those used in the suggested idea. If you need anything else, give us a shout /RB"
2954,,@SpotifyCares I feel like my idea has similar keywords as the one I was told to go to – that's closed and can no longer be voted on.,"@116393 We hear you. Rest assured, your feedback will be passed on to the right folks /RB"
2949,,"@SpotifyCares Hi. My @115888 playlists idea's status got changed + can't receive any votes. They sent me a link to a ""similar idea"", but it's closed.",@116393 Hi Daniel! Can you send us the link to the idea you posted? We'll take a look at what happened 🙂 /NH
2957,,@SpotifyCares Thanks!,"@116393 You're welcome! If anything else comes up, we're just one tweet away. Have a https://t.co/cPbDPiAv92 🙂 /BH"
2959,,"@SpotifyCares I've dragged so many songs to the same playlists over + over. One of the aims of technology is to make everyday tasks easier, right? =]",@116393 Hey Daniel this sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /BH
2962,,@SpotifyCares AC/DC....,@116394 Thanks. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS
2965,,"@SpotifyCares Well done, guys. 👍🏼 https://t.co/s9HZ9EqjEX","@116394 Sorry about that. We’d love to have all of their stuff available, but we have some info about content here: https://t.co/MEjmIRL2eB /JQ"
2963,,"Hey @SpotifyCares did you take ""You shook me all night long"" off spotify just to piss me off? Why remove the greatest song ever made?","@116394 Hey Dustin, we're sorry to hear that! Can you let us know the name of the artist of that track? We'll check it out /NS"
2968,,@SpotifyCares https://t.co/T85iGba29f,@116395 Got it. Are you getting a specific error message when you try playing this track? A screenshot of it would come in handy /KB
2969,,@SpotifyCares It’s on the mobile app,@116395 Alright. Can you send us the Song Link then? Just tap the three dots &gt; Share &gt; Copy Link. We'll have a look /AG
2972,,My only Halloween song won’t play and I’m starting to get upset. @115888 help,"@116395 Hey there! Can you send us the Spotify URI? Just right-click the track &gt; Share &gt; URI. Also, what country is your Spotify account set to? /AG"
3888,,@SpotifyCares Okay! I did it! Thanks,@116649 We've just sent a DM your way. Let's carry on chatting there /AN
3890,,@SpotifyCares What should I do in this cases? Thanks in advance! (2),@116649 Hi Nico! Can you send us a DM with your account's email address or username? We'll take a look under the hood /XF https://t.co/ldFdZRiNAt
3893,,@SpotifyCares And this is why I’ll love Spotify forever and why you are my favorite music platform. Thank you! 🙏🏽💯❄️,"@116650 You're welcome! If you ever need us again, just give us a shout. https://t.co/m4HWSbgHVZ 🙂 /LO"
3895,,"@SpotifyCares I dunno what system you use that decides which part of the song it gonna play- I love Spotify, but maybe a custom clip option?",@116650 This sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /LO
4995,,"@SpotifyCares That stinks. Can you make it a feature, off by default, that I can enable?",@116885 We hear you. We can’t make any promises but we’ll pass your feedback onto the right folks /RH
4999,,@SpotifyCares I used to use that feature as an example of great UX. 😂🙈🙉🙊,"@116885 We understand. Don't worry, we'll let the right team know it's something you'd like to see again /NS"
4996,,"@SpotifyCares @116885 I can't fathom why you'd get rid of such an unique, useful feature. us heavy-users feel truly alienated/betrayed. please make this right!","@116886 Hey Paula, we appreciate your feedback! Don't worry, we'll let our devs know this is something you'd like to see again /GK"
5005,,"@116886 @SpotifyCares The truth is, although Spotify Cares, they've obviously already found the feature to not be useful to the masses. We are outliers. 😓","@116885 We're sorry if you feel that way. In any case, we appreciate your feedback on this. Feel free to tweet us if there's anything else /GK"
4997,,@SpotifyCares what happened to the iOS tap and hold to preview a song feature? I loved it for queuing songs to a playlist.,@116885 Hey! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /RH
5008,,@SpotifyCares Spotify 8.4.25.906 and iOS 11,"@116887 Got it. Is this happening on 3G/4G, WiFi, or both? Do you get the same issue when you use Spotify on other devices? /KB"
5011,,@SpotifyCares No just on my phone since I installed iOS 11. Mostly on 3G/4g. It’s very random when it decides not to work.,"@116887 Are you getting any error messages when it happens? Is it happening when you're using earphones, or even without them? /PL"
5013,,"@SpotifyCares Nothing, same problem seems to be happening to a lot of people.",@116887 We understand. Can you check if the steps here do the trick: https://t.co/cxGHt0bCR8? /PL
5015,,@SpotifyCares Didn’t work,@116887 Hmm. Can you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt
5009,,@116888 @SpotifyCares Same exact issue. Sound won’t play more than 50% although i have it on full,@116887 Hey! The cavalry's here. Could you confirm the iOS and Spotify version you're using? We'll see what we can suggest /KB
5020,,"@SpotifyCares BTW I have a confirmation email to say my email address was updated, then got an email to say my subscription had been cancelled?",@116889 Hey Lauren! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt
5023,,@SpotifyCares They're back now. I was on my phone's 4g earlier. I don't know what happened but when I connected to my wifi it returned. Thank you though.,@116890 1: Great! Glad to hear everything's okay now. It could have been just a delay when the app was loading. Just let us know if we can help...
5026,,@SpotifyCares  All of my songs disappeared from My Songs. They're still in the playlist but I'm not able to view them. https://t.co/lP9IHtod1M,"@116890 Hey, help's here! Can you try logging in on another device or the web player (https://t.co/aT5o0wcN4V)? Are you seeing your songs? /JP"
5028,,@SpotifyCares Doesn’t show in lock screen. Can’t adjust volume of phone isn’t unlocked also.,@116891 Thanks for the info. Could you try logging out &gt; restarting your device &gt; logging back in to see if it helps? Keep us posted /AR
5031,,@SpotifyCares Works. Blame IOS update.,"@116891 Glad to hear everything's working okay now. If there's anything else we can help you with, just give us a... https://t.co/AUc7DGJpgF 🙂 /CH"
5029,,@115888 the new iOS is making your app way less usable. Would fancy walking around with a boom box after this update.,@116891 Hey there! Can you tell us more about what's happening exactly? We'll see what we can suggest /AR
5034,,"@115888 can you stop spamming me with ""would you like to open Waze?"" Fuck.",@116892 Hey there! Can you let us know which device and operating system you're using? We'll see what we can suggest /NQ
6485,,@117153 @SpotifyCares Im paying for premium but every time i log in it keeps saying free service,@117152 Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt
6616,,@SpotifyCares Yes I did. The dude even said thanks for watching now enjoy your 30 mins of ad free music.,"@117167 Hmm, that's odd. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /RA"
6620,,@SpotifyCares Ok! Thanks. I will let you know if it happens again. Thanks for every thing! https://t.co/WWH8AKTJUk,"@117167 You're welcome! If you ever need us again, just give us a... https://t.co/AUc7DGJpgF 🙂 /AR"
6617,,@SpotifyCares No it didn't crash. I was cooking dinner and heard about 3 songs. Each song is about 2-3 mins. After the third song the ad played.,"@117167 Thanks for confirming! Just to check, did you definitely watch the video ad in full after hearing the offer? /RA"
6618,,@117168 when I watch an ad video and you say 30 mins ad free. I expect 30 mins ad free. Not 10 mins. https://t.co/1hmNwVarMm,"@117167 Hey Terry, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RA"
7008,,"Excuse me @115888 I have ✌🏽 songs that I never made available commercially, available on your service 🤔 who do I contact","@117212 1: Hi there. Don't worry, we'll look into this. Can you send us the Spotify URI? Just right-click the track &gt; Share &gt; URI. If you're on..."
7011,,@117153 y'all charged my account 8 times ..... uhhh,@117213 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt
8207,,@SpotifyCares Help your boy out,"@117435 Hey there! Don't worry, help's here. Can you DM us your account's email address? We'll take a look backstage /MT https://t.co/ldFdZRiNAt"
8224,,"@117153 I can't seem to get in due to the card or payment provider, yet I checked my card and it is 100% fine. Can you please fix this?","@117441 Hi there! Can you DM us your account's email address or username, and a screenshot of the error message? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt"
8265,,@SpotifyCares is there an email i can message? Ive been trying to buy premuim for a few days but i keep getting the card bad day error.,"@117444 Hey, we can help here on Twitter! Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt"
8291,,"@SpotifyCares add lyrics to all songs on ur app pls, apple music can do it u can too","@117452 Hey! If you’re Premium, you can connect your Spotify account to the Musixmatch mobile app to enjoy lyrics: https://t.co/scvbRH6MhL /JS"
8306,,@115888 so incredibly annoying that you don't work on roku 🙄,@117458 Hey Maggie! We have some info about the Spotify app on Roku here: https://t.co/titMn0j3Im. Give us a shout if there's anything else /MT
8424,,@SpotifyCares I login with facebook (__email__) - but i think my email account for spotify is my old one (__email__)  that is now defunct. What can I do?,@117482 We'd recommend deleting your last tweet as it contains sensitive account info. You can DM it to us instead /NY https://t.co/ldFdZRiNAt
8425,,Will changing my password stop this person from using my @SpotifyCares? https://t.co/VHJyWGO25j,@117482 Hey Richard! We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /CH
8671,,@SpotifyCares Fasho thank you for the help,@117212 No worries! Just give us a shout if you need anything else. We're... https://t.co/zOXI69QSqg /JU
8673,,"@SpotifyCares Thanks 4 the speedy response but I think I discovered what’s going on, does the desktop app have a way to play music from personal folders?",@117212 1: That may be it. You may have synced your local files into the Spotify app while logged in to your account. We have more info...
8676,,@SpotifyCares Can't access my account. Annoyed that I have to tweet to get tech support for a service I pay for 😡,@117525 Hey Alex! Can you DM us your account's email address or username? We'll take a look backstage /RH https://t.co/ldFdZRiNAt
8678,,@SpotifyCares I have now tried a different computer on a different network with a different browser (Edge) &amp; still can't push play.,"@117526 Hmm, that's odd. Could you DM us your account's email address? We'll take a look under the hood /KB"
8679,,@SpotifyCares No problems with iOS.,@117526 Thanks! How about connecting to a different network? Let's see if that works /PC
8682,,@SpotifyCares Tried an incognito Chrome window.  No change.  Work has blocked https://t.co/JoK7ESpKMg in Firefox,@117526 Hmm. Does logging in on a different device show the same issue? Keep us updated /PC
8683,,@SpotifyCares Chrome web player on dell laptop,@117526 Got it! Can you try using a different browser or an incognito window instead? Let us know how it goes /JU
8686,,"@SpotifyCares My web player is stuck in a commercial.  'Play' isn't an option.  Tried clearing cookies, etc. nothing helped. #ijustwantmusic https://t.co/LPxSjwjIHA","@117526 Hi Andrea. Don't worry, help's here. Can you tell us what device and browser you're using? We'll see what we can suggest /JU"
8688,,@SpotifyCares Android 6.0.1 and Spotify version 8.4.25.771 armV7,@117527 Thanks for that! Can you DM us your account's email address and username? We'll take a look backstage /KL https://t.co/ldFdZRiNAt
8689,,@SpotifyCares not sure why the app has been slow to load and glitching music for the past couple months. Samsung galaxy s5,@117527 Hey there! Can you let us know what Android and Spotify versions you're running? We'll see what we can suggest /NS
8697,,@SpotifyCares Checked the three dots and saw the download option and then my song appeared. It works.. but it feels hidden. Thank you for your interest :),@117528 You're welcome! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /KC
8693,,"@115888 you guys trying to make it harder to load local music? ""BROWSE FOR MUSIC"" Show me the song I added instead. Don't BS users.",@117528 Hey there! Can you let us know what's happening exactly? We'd love to lend a hand /KC
8700,,@SpotifyCares Shout! be in India soon ..,"@117529 We hear you. Rest assured, your feedback will be passed on to the right folks /NQ"
8701,,@SpotifyCares Added! - India 😊👍🏻,"@117529 Awesome! Fingers crossed we'll be available in India soon. If there's anything else, just give us a shout /RH"
8704,,@115888 why aren’t you available in India.. https://t.co/YUzA4qYDvv,@117529 Hey! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /CB
9354,,@SpotifyCares Here is this pop up that keeps coming up,"@117670 Thanks, but we'd suggest deleting your tweet as it contains some sensitive info. Can you send it via DM? Let's continue chatting there /CH"
9358,,@SpotifyCares I'm new at this how do i DELETE and what's dm,"@117670 1: To delete your tweet, just tap on the icon that looks like an arrow pointing down and select Delete Tweet from the options. /CH"
9356,,"@SpotifyCares 
Help on my spotify card please",@117670 Hey Eva! We've just sent you a DM. Let's continue chatting there /NS
9362,,@642 @115888 @SpotifyCares my spotify premium stopped working,@117671 Hey there! Can you DM us your account's email address? We'll take a look backstage /RB https://t.co/ldFdZRiNAt
9364,,@SpotifyCares Done - but disappointed this post has been running since 2012 and nothing has been done about it.  #GiveListenersTheChoice,@117672 1: Thanks for pitching in! Our team keeps a close eye on all submissions posted on our Community page.
9365,,@115888 @SpotifyCares When will you add an explicit filter?  My kids don't want to hear those songs.,"@117672 1: Hey Marcus! It's definitely something for the team to consider and we'll make sure it reaches them. In the meantime, we’d..."
9371,,@SpotifyCares Yes the music works fine no problem. Just the lock screen functionality has completely disappeared,@117673 Can you DM us your account's email address? We'll take a look backstage /KC https://t.co/ldFdZRiNAt
9373,,@SpotifyCares iOS 11.0.3 and the Spotify version is 8.4.25,"@117673 Just to check, are you able to play music fine, but the lock-screen controls are unavailable? We'll keep an eye out for your reply /MU"
9375,,@SpotifyCares I have logged in to multiple devices as well. All iPhones with iOS 11 updates. Same problem,@117673 Hmm. Could you give us the exact iOS 11 and Spotify app versions you're using? We'll see what else we can suggest /JU
9377,,@SpotifyCares Then after about 5 hours it glitches again,@117673 Will it be possible if you can log in to another device? Give us a shout if anything comes up /SJ
9380,,@SpotifyCares Yes! It is a constant problem on the iOS 11 update. Like I said I’m not the only 1 encountering the problem.,@117673 Thanks. Can you try reinstalling the app? You can find the steps for your device at https://t.co/cxGHt0bCR8. Keep us posted /SJ
9383,,@SpotifyCares please fix ASAP I hate Apple Music I don’t want to use them 😩,"@117673 Hey, help's here! Is it still missing after logging out, restarting the app, then logging back in? Let us know how it goes /SJ"
9385,,"@SpotifyCares Thanks. If you want to see the finest release notes known to man, check out the Argos app's release history. They add brand value!",@117674 We'll keep that in mind! Just give us a shout if you need anything else. We're... https://t.co/zOXI69QSqg /JU
9387,,Love these detailed updates from @115888 / @SpotifyCares - so great to download nearly 100MB of ???? each week or two! https://t.co/1s2FST7vuY,@117674 Hi Caspar. Thanks for bringing this up. We’re always testing things in order to improve &amp; we'll pass on your thoughts to our devs /JU
10718,,@SpotifyCares Stop showing me diaper ads. I don't have a baby.,@117978 Hey! Sorry about that. We'll pass the feedback on to the right people /RB
10720,,@115888 Hi. I can't log on to my premium account. Are there any problems at your end?,@117979 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt
11166,,@SpotifyCares And is that causing the other issue where nothing will play on sonos thru Spotify app?,@118116 Can you DM us the username or email address so we can pull up the account and take a closer look? /JU https://t.co/ldFdZRiNAt
11169,,@SpotifyCares They aren’t locally imported… We just imported her iTunes playlist in Spotify so it found identical songs. Is that why they are greyed out?,@118116 You're right. It's possible that some tracks from her iTunes isn't available on Spotify. This is why you can't play these tracks /JU
11171,,@SpotifyCares @118117 Why does it say “can’t play this right now” and why are playlist songs greyes out (originally imported from iTunes),"@118116 Hey Andy! Since Sonos streams directly from Spotify's catalog, it's not possible to play your local files. Hope this clarifies things /JP"
11174,,"@SpotifyCares Done , thanks! ;) #launchInIndiaSoon 🤣😂🤣","@118118 You're welcome. If you have any other questions, just give us a shout. Take care! /KC"
11176,,"@SpotifyCares @115888
Just checked , still unavailable","@118118 We haven't launched there yet, but hopefully we'll get there soon. Make sure to add your email in the link we sent earlier. Stay tuned 😁 /KC"
11178,,Hey @115888  what about being available in India???,@118118 Hey there! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP 🙂 /KC
11310,,@SpotifyCares What is this problem? How do I fix this?,"@118153 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt"
11712,,@118266 halo skrg kok udh gak ada pilihan bayar pakai pulsa ya untuk berlangganannya?,"@118265 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /JS"
12071,,@SpotifyCares Nevermind. I just googled it 😬,@118383 No worries! You know where to find us if there's anything else you need help with. https://t.co/uEkAlnxbzn 😉 /CH
12073,,@115888 My kids wanted premium but your student deals are only for college/ uni kids. Won't you consider the younger kids that are addicted to Spotify too?,"@118383 1: Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see. /KC"
12082,,@115888 web player gets broken sound in Chrome and does not work at all in Safari. Nice work.,@118384 Hey! The cavalry's here. Can you try the steps at https://t.co/7QTtcOL36B? Let us know how it goes /JS
12084,,@115888 can you please bring back the „touch preview“ feature??? Please? 😭🙏🏼,@118385 Hey Maria! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /FR
12086,,@115888 I need help with my account I keep getting charged for an account that is on the free subscription but was once premium,@118386 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt
12088,,@SpotifyCares Well seeing as it didn't work anyway I can't see this a bad thing. Hopefully you will get it fixed soon. Seeing as it's been &gt;6 months,"@118387 Fingers crossed that an update would be available soon. For the meantime, let us know if you have other questions /JU"
12090,,@SpotifyCares @SpotifyCares does this work on roku yet?,"@118387 As we look to improve the overall Spotify experience, we are removing the app from Roku. There's more info here: https://t.co/D2p6hgpCoW /JU"
12647,,@SpotifyCares.  Set up family premium. put wrong address. canceled. now can't set up new account w my email address. U make me pay? Help!,"@118533 Hey Michael, help's here! Can you DM us your account's email address? We'll take a look backstage /KC https://t.co/ldFdZRiNAt"
13421,,I bought it and downloaded Hulu and it says cant find your account😐 @117168 @hulu_support https://t.co/vjqR8vA9js,@118785 Hey there! Can you DM us your account's email address or username? We'll check backstage /AR https://t.co/ldFdZR1cbT
14406,,"@SpotifyCares 
My family premium account has stopped working, even though we have payed this month, it was working last week",@119078 Hey Jacob! Could you send us a DM with your account's email address? We'll take a look backstage /FR
14941,,@116380 yo you've uploaded the wrong song under Weezer's 'QB Blitz' 😂😂,@119239 @116380 Hi Sarah! We've just sent you a bit more info over DM. We'll carry on helping out there /JS
14943,,@115888 https://t.co/IZGJd5KWjz put this on spotify please,"@119240 Hey! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /NQ"
14945,,"@SpotifyCares Ok, thanks.",@119241 You're welcome! Let us know if ever you need anything else 😁 /NS
15665,,"@115888 I tried to upgrade to premium for 6.99 and my card was charged twice, and i am not even upgraded..please advice!",@119445 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt
15746,,@SpotifyCares You DO care 😭,@119468 We sure do. Feel free to send a tweet our way if you ever need any help with anything 🙂 /NQ
15747,,@115888 Give me a song to jam to so I forget about my no good ex who was a selfish prick. No country though thanks💕,@119468 Hey there! Here's a whole playlist of songs we think might help: https://t.co/k0bYw0dCVA /NQ
16201,,@SpotifyCares :(( okay. thank you anyways,@119557 No worries! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /MG
16203,,"@SpotifyCares hi. can you pretty, pretty please put the band ""jank""
back on spotify?",@119557 Hey Claire! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MG
16205,,@SpotifyCares Thank you. Will keep an eye on that.,@119558 You're welcome. Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /NQ
16206,,@115888 Hi. When are you guys having promo for the premium accs? Thanks :),"@119558 Hey! We don't have any info about this right now, but we'll be sure to pass on your feedback to the right folks /NQ"
16211,,@115888 why has this stopped working on PS4?? Am I messing up a setting?,@119559 Hi there! What's happening exactly? Are you having issues loading the app? We'll see what we can suggest /NQ
16532,,"@SpotifyCares First it was quiet, then a ring of people closed in on me from the shadows, chanting Top 100 hits. Before I knew it, I woke in a cold sweat.","@119645 Haha, that's a good one! Let us know if you need anything else 😁 /NS"
16533,,@115888 I don't get it. Do you not get to pick what you listen to anymore? Is this a cult? https://t.co/llzqflREow,@119645 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /NS
16942,,@SpotifyCares No I can't,"@119724 1: Can you try restarting your computer in Safe Mode with Networking, then uninstalling the app? There's more info about advanced..."
